zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services
13833,3947,3947,3909,0,32,6,0,2.4668726591760297,0.6,2123,1824,937,629,318,46.1,439.0,11.1,54375,81026,0.4194015444015444
13834,253,253,244,9,0,9,0,3.5598591549295775,0.0,165,88,23,15,0,27.2,9.0,3.6,72852,N,0.0
13835,1276,1274,1247,0,0,0,2,2.519090909090909,1.6,646,630,297,186,95,43.8,147.0,11.5,51053,75642,0.3396551724137931
13838,4284,4104,3914,31,14,111,180,2.297381974248927,0.5,2202,2082,1086,777,351,43.3,1079.0,25.2,36815,62532,0.3984799131378936
13839,1072,1015,968,0,28,30,57,2.25843956043956,0.0,564,508,397,288,103,55.2,192.0,17.9,45817,52303,0.3
13841,634,613,575,11,0,14,21,2.6328033472803347,0.0,288,346,98,82,40,39.5,71.0,11.2,53125,86784,0.286231884057971
13842,543,520,469,36,5,46,23,2.3683636363636364,0.0,306,237,154,97,32,45.1,108.0,22.8,54375,82554,0.18652849740932642
13843,2099,2084,2064,0,0,10,15,2.538913043478261,0.0,1077,1022,524,412,162,44.8,373.0,18.0,51207,69657,0.28
13844,758,755,703,19,0,47,3,2.789705882352941,0.4,387,371,200,134,21,42.8,132.0,17.6,53125,68149,0.525065963060686
13845,138,138,138,0,0,0,0,,0.0,71,67,138,138,0,-,0.0,0.0,-,N,
13846,351,351,341,2,8,2,0,2.2237341772151895,0.0,171,180,177,117,34,61.1,72.0,20.5,37917,55402,0.3586206896551724
13847,84,84,84,0,0,0,0,3.3604,0.0,41,43,11,11,11,27.7,10.0,11.9,-,104079,0.35
13849,4334,4224,4139,30,0,70,110,2.3710958904109587,0.0,2196,2138,1249,911,306,45.6,599.0,13.9,49554,71726,0.34192530247238295
13850,22186,21504,18137,782,2296,917,682,2.5169987287645905,1.4,11075,11111,6386,4697,2411,42.0,2952.0,13.5,65030,113717,0.16841792228390168
13856,6009,5874,5844,0,0,44,135,2.293320537428023,2.5,3106,2903,1698,1235,546,45.3,1088.0,18.6,50764,58496,0.40066716085989623
13859,189,189,181,0,0,8,0,2.013936170212766,0.0,91,98,87,43,0,57.2,8.0,4.2,54750,86795,0.3565217391304348
13860,26,26,26,0,0,0,0,,0.0,19,7,0,0,0,24.1,0.0,0.0,-,N,0.0
13861,343,343,343,0,0,0,0,2.194166666666667,0.0,148,195,224,203,33,69.0,14.0,4.1,75700,104040,0.29365079365079366
13862,4429,4351,4267,30,7,61,78,2.5724041811846687,1.6,2290,2139,1039,760,273,41.1,382.0,8.7,61714,79369,0.27358490566037735
13863,766,714,684,18,0,23,52,2.6977464788732397,3.2,393,373,148,111,26,35.2,148.0,19.9,54167,65796,0.3064516129032258
13864,1011,941,931,0,0,0,70,2.264429530201342,0.0,533,478,268,141,55,41.1,21.0,2.1,40347,74606,0.37937743190661477
13865,6135,6012,5918,30,24,60,123,2.5743657817109145,1.9000000000000001,3072,3063,1473,952,396,44.2,423.0,6.9,62629,78634,0.359697386519945
13901,19195,18572,16524,1076,220,1692,623,2.3218888752606404,1.7,9374,9821,4665,3295,1336,41.0,4594.0,24.1,44159,81131,0.27262995123111694
13902,6149,5544,3750,355,1262,420,605,,0.0,3222,2927,15,15,8,19.5,0.0,0.0,-,N,0.27191413237924866
13903,18496,17401,14670,1503,359,2347,1095,2.359402584111552,2.2,9377,9119,4263,3034,1331,40.2,3495.0,19.0,46813,82222,0.2939923783904954
13904,9948,9224,7997,888,96,1236,724,2.482055118110236,4.4,4768,5180,2583,1804,734,39.4,1962.0,20.9,49189,68361,0.2678083891784562
13905,26194,24927,19882,2339,1547,3254,1267,2.1640335463258786,1.7000000000000002,12507,13687,6579,4747,2429,37.5,7206.0,29.6,39832,72044,0.29062776304155613
14001,9549,9380,9061,82,81,140,169,2.3534618235730167,1.4,4927,4622,2467,1773,973,45.4,548.0,5.7,60615,91117,0.3298007630351844
14004,12496,12190,10831,1130,64,1254,306,2.563201447527141,1.3,6914,5582,2973,2280,964,42.5,373.0,3.5,73586,92427,0.23811285846438482
14005,1973,1900,1884,8,0,8,73,2.750557103064067,1.7,1021,952,366,249,117,40.7,219.0,11.2,70673,87142,0.27686350435624396
14006,9949,9640,9293,78,26,181,309,2.311933520599251,1.1,5013,4936,2826,2051,644,49.2,1377.0,13.9,56941,81042,0.31021594684385384
14008,1315,1313,1263,5,2,7,2,2.5727777777777776,0.0,650,665,322,278,95,46.3,244.0,18.6,57400,75677,0.35447761194029853
14009,5341,5169,5043,63,53,70,172,2.2526582278481015,1.1,2632,2709,1412,1034,443,42.6,861.0,16.2,50284,72827,0.2602687140115163
14011,9470,8796,7135,1424,16,1690,674,2.543578154425612,1.7,6120,3350,1672,1153,584,38.7,493.0,7.3,66178,86805,0.34688995215311
14012,2379,2339,2282,0,22,7,40,2.5954923413566737,0.0,1204,1175,613,415,136,43.6,270.0,11.4,58707,81610,0.29000969932104753
14013,1708,1686,1247,15,30,15,22,2.319877551020408,1.8,944,764,451,301,117,47.5,164.0,9.7,57746,70052,0.4518664047151277
14020,22642,21823,20282,755,240,1179,819,2.2807163591125854,0.5,11202,11440,5785,4467,2075,43.8,3274.0,14.8,52825,82751,0.276032315978456
14024,1567,1567,1538,0,17,0,0,2.529032258064516,2.1,808,759,336,238,76,41.5,208.0,13.3,63158,75893,0.2878179384203481
14025,3223,3201,3200,0,0,0,22,2.2110192837465563,0.0,1588,1635,1052,775,417,48.5,140.0,4.4,56172,85693,0.25050641458474004
14026,588,588,578,10,0,10,0,1.8065538461538462,0.0,321,267,139,123,71,54.0,85.0,14.5,-,128149,0.15176151761517614
14028,1703,1701,1650,4,2,4,2,2.4508115942028983,0.0,869,834,425,210,122,43.1,93.0,5.5,75667,82494,0.19735391400220506
14030,1775,1713,1706,4,0,4,62,2.5286131386861315,0.0,959,816,397,310,140,46.0,223.0,12.6,63036,74789,0.21839080459770116
14031,10301,10193,9653,135,135,298,108,2.483847487001733,0.0,5182,5119,2704,2146,937,45.3,473.0,4.7,82727,128193,0.17508553028778426
14032,8955,8760,8541,5,174,40,195,2.925314341846758,0.0,4611,4344,1341,988,340,42.1,99.0,1.1,121111,167867,0.17324561403508773
14033,1754,1647,1641,0,6,26,107,2.2737142857142856,0.9,778,976,631,376,110,49.0,88.0,5.2,85278,102604,0.1675338189386056
14034,2800,2563,2095,416,4,470,237,2.413983628922237,0.8,1864,936,614,377,187,45.5,152.0,8.6,61292,83552,0.26627906976744187
14035,77,77,77,0,0,0,0,,0.0,36,41,6,6,6,38.2,6.0,7.8,-,N,0.0
14036,4729,4695,4441,21,3,110,34,2.3668894472361806,0.5,2374,2355,1387,907,420,47.6,480.0,10.2,68448,96427,0.33115886415963164
14037,1012,990,990,0,0,0,22,2.418133971291866,0.0,551,461,289,190,80,45.4,71.0,7.0,56389,77521,0.3308270676691729
14039,92,92,92,0,0,0,0,2.4854054054054053,0.0,49,43,13,5,2,29.7,13.0,14.1,57188,74510,0.22916666666666666
14040,2179,2145,2141,0,0,0,34,2.6511678832116785,0.5,1020,1159,509,376,176,41.6,137.0,6.3,71774,99127,0.3026565464895636
14041,166,166,166,0,0,0,0,3.0203636363636366,0.0,102,64,23,11,3,32.0,53.0,35.1,55313,60389,0.24
