ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,MODZCTA,cases,Total,zcta_cum.perc_pos,zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
11214,0,Brooklyn,89061.0,61096539.3891465,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11214,1306,2867,45.55,11214,92946.0,77673.0,39676.0,1143.0,34742.0,1660.0,15273.0,2.8798271380703344,13.5,45577.0,47369.0,20589.0,15351.0,7241.0,39.6,16168.0,17.5,54041.0,81778,0.31387081784386617,0.16516041572525983,0.426871516794698,0.5731284832053021,0.012297463043057259,0.1643212187721903,14.05116949626665
11691,0,Far Rockaway,60267.0,83927815.1123475,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11691,1935,3650,53.01,11691,67094.0,49406.0,16075.0,29701.0,2320.0,32786.0,17688.0,3.122734777119549,10.6,30803.0,36291.0,11796.0,8316.0,3915.0,31.1,13848.0,21.4,46147.0,77919,0.33857503397398564,0.12394550928548008,0.2395892330163651,0.7604107669836349,0.44267743762482487,0.2636301308611798,28.84013473634006
11223,0,Brooklyn,79864.0,58702923.4662996,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11223,1448,3302,43.85,11223,81789.0,68092.0,42631.0,2861.0,19745.0,4443.0,13697.0,2.9260154517490524,12.2,40113.0,41676.0,17944.0,12892.0,6202.0,36.5,16552.0,20.3,50108.0,86851,0.2931346369196313,0.15762510851092446,0.5212314614434704,0.47876853855652957,0.03498025406839551,0.1674675078555796,17.704092237342433
11692,0,Arverne,18018.0,23992395.3811918,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11692,510,1037,49.18,11692,20991.0,15869.0,2093.0,11961.0,1199.0,12998.0,5122.0,2.9483947175348497,8.0,9755.0,11236.0,3634.0,2566.0,978.0,34.2,5135.0,25.4,44024.0,69356,0.2950172040270167,0.12224286599018627,0.09970939926635225,0.9002906007336478,0.5698156352722595,0.24400933733504834,24.296126911533513
11235,0,Brooklyn,76130.0,69053803.0317134,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11235,1730,3737,46.29,11235,78128.0,71637.0,56160.0,1812.0,11260.0,2303.0,6491.0,2.3808060367535404,11.7,37432.0,40696.0,23688.0,18363.0,9382.0,45.1,14999.0,19.4,52538.0,95275,0.28551340101808365,0.23503737456481671,0.7188203972967439,0.28117960270325615,0.02319270939995904,0.08308160966618881,22.143149703051403
10306,0,Staten Island,55602.0,174102872.04866,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0,10306,1312,3720,35.27,10306,53142.0,45327.0,39656.0,1651.0,3100.0,2597.0,7815.0,2.6298960363872643,2.6,24906.0,28236.0,13358.0,9461.0,4451.0,43.9,5191.0,9.9,79569.0,113762,0.2157492969063881,0.17803244138346316,0.7462270896842422,0.25377291031575777,0.03106770539309774,0.14705882352941177,24.68857024575665
11694,0,Rockaway Park,20163.0,48101606.6144704,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11694,622,1335,46.59,11694,21354.0,18171.0,15589.0,1283.0,742.0,1522.0,3183.0,2.3558018422295697,3.6,10932.0,10422.0,5990.0,4368.0,1898.0,48.5,2009.0,9.9,80976.0,143875,0.12670689107653224,0.20455184040460803,0.7300271611875995,0.26997283881240053,0.06008242015547438,0.1490587243607755,29.12803221878805
11224,0,Brooklyn,49600.0,46701983.7536391,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11224,950,2093,45.39,11224,46707.0,37191.0,23843.0,9636.0,2753.0,11121.0,9516.0,2.4277863818424565,6.1,20929.0,25778.0,15243.0,12070.0,6208.0,45.5,12792.0,27.9,33131.0,65896,0.30817310554199656,0.2584195088530627,0.510480227803113,0.489519772196887,0.20630740574217998,0.20373819770055882,20.339563662834266
10308,0,Staten Island,27612.0,62751041.8151495,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0,10308,587,1729,33.95,10308,30186.0,27298.0,25268.0,310.0,1502.0,439.0,2888.0,2.8321994740796392,2.1,14569.0,15617.0,7516.0,5360.0,2353.0,42.9,1769.0,5.9,93963.0,120818,0.17468006651724388,0.1775657589611078,0.8370767905651627,0.1629232094348373,0.01026966143245213,0.09567349102232824,19.446100841449677
11697,0,Breezy Point,4079.0,59789760.6199218,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11697,85,207,41.06,11697,3540.0,3311.0,3243.0,21.0,20.0,21.0,229.0,2.585897435897436,1.8,1699.0,1841.0,1192.0,899.0,446.0,49.1,110.0,3.1,103580.0,155510,0.12582781456953646,0.253954802259887,0.9161016949152543,0.08389830508474572,0.005932203389830509,0.06468926553672316,24.01129943502825
10312,0,Staten Island,58506.0,169087432.907114,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0,10312,1384,3757,36.84,10312,61741.0,55507.0,50629.0,749.0,3356.0,1046.0,6234.0,2.8809344308296696,2.2,29882.0,31859.0,14646.0,10607.0,3720.0,41.6,3995.0,6.5,95064.0,125305,0.14883428291796288,0.17179831878330445,0.8200223514358368,0.1799776485641632,0.01213132278388753,0.1009701818888583,22.41622260734358
10309,0,Staten Island,33114.0,215835793.517094,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0,10309,779,2228,34.96,10309,33531.0,30424.0,28515.0,193.0,1206.0,313.0,3107.0,2.904876133984648,0.9,16842.0,16689.0,7330.0,5198.0,1953.0,40.5,3089.0,9.2,103175.0,130338,0.14190027288514018,0.15502072708836598,0.8504070859801378,0.1495929140198622,0.005755867704512242,0.09266052309802869,23.232232859145267
