objectid,shape_area,shape_len,zip,zip_code,cases,total_tested,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
2.0,62181473.5197,32075.5994211,60645,60645,667,2113,47732,39605,21481,8136,7766,8733,8127,2.8781593355890496,7.5,23740,23992,9491,6564,2838,35.6,9927.0,21.1,53340.0,83863,0.3157138064887142,0.13751780775999328,0.45003352048939915,0.5499664795106008,0.17045168859465348,0.1702631358417833,13.973854018268668
13.0,183013076.262,59337.8074397,60643,60643,526,2438,49870,48221,10138,36573,181,37822,1649,2.7594580127132815,0.7999999999999999,22638,27232,12479,9153,4394,43.5,8438.0,17.0,64477.0,105291,0.21590368325877987,0.18353719671144977,0.20328855023059955,0.7967114497694004,0.7333667535592541,0.03306597152596751,10.547423300581512
15.0,3136688.22496,7175.09216765,60643,60643,526,2438,49870,48221,10138,36573,181,37822,1649,2.7594580127132815,0.7999999999999999,22638,27232,12479,9153,4394,43.5,8438.0,17.0,64477.0,105291,0.21590368325877987,0.18353719671144977,0.20328855023059955,0.7967114497694004,0.7333667535592541,0.03306597152596751,10.547423300581512
3.0,37984388.8422,27307.8138361,60660,60660,246,995,43242,35514,22313,6131,5573,6673,7728,1.933263687366996,5.4,21537,21705,8341,5741,2118,36.7,6946.0,17.2,49241.0,90167,0.2356397649598273,0.13276444197770687,0.5160029600851025,0.4839970399148975,0.14178345127422412,0.17871513806021924,5.688913556264743
4.0,77305245.7089,48985.8713041,60640,60640,488,1963,69715,59776,38554,11564,7578,12605,9939,1.9211387228688264,3.9,35614,34101,12337,8987,4203,37.3,13312.0,19.5,53831.0,112655,0.2049874226006192,0.1289105644409381,0.5530230223050994,0.44697697769490063,0.1658753496378111,0.14256616223194435,6.999928279423366
32.0,94460631.8068,50587.3473804,60614,60614,306,1854,71308,66991,56762,2794,5282,3344,4317,2.004059373511196,1.1,35945,35363,8768,6179,2351,30.3,5848.0,8.6,107461.0,285792,0.062067656487261674,0.08665226903012285,0.7960116676950693,0.20398833230493074,0.039182139451393955,0.060540191843832386,4.29124361922926
41.0,107117591.88,68289.7515766,60631,60631,142,1224,29529,26377,24253,445,866,608,3152,2.428745910577972,0.4,14264,15265,7501,5469,2966,42.6,1598.0,5.5,91034.0,144960,0.14223521767381414,0.18520776186122118,0.8213281858511972,0.17867181414880284,0.01506993125402147,0.10674252429814758,4.808831995665278
42.0,117890054.124,62633.1398208,60646,60646,210,1199,27987,24016,20315,296,2890,440,3971,2.544077402787968,2.3,13222,14765,7279,5732,2899,43.7,1929.0,6.9,89480.0,152821,0.12596757704103986,0.2048093757816129,0.725872726623075,0.274127273376925,0.010576339014542467,0.14188730482009504,7.50348376031729
43.0,345241692.171,83748.9919899,60628,60628,667,2534,66724,64432,1281,62192,123,63110,2292,2.8756157592624807,2.6,30816,35908,14900,11272,5095,38.8,17576.0,26.6,40261.0,66879,0.34648887421046115,0.16893471614411606,0.019198489299202686,0.9808015107007974,0.932078412565194,0.03435045860559918,9.996403093339728
5.0,105830918.023,42524.1104776,60625,60625,725,2239,79243,53265,36086,3735,10215,5491,25978,2.603827683137468,5.1,39692,39551,11363,7575,3398,34.2,11288.0,14.7,64117.0,103713,0.2750151403001144,0.09559203967542874,0.4553840717792108,0.5446159282207892,0.04713350075085496,0.32782706358921293,9.149073104248956
6.0,113903341.112,42682.9829469,60641,60641,644,2306,71023,32673,26008,1353,3215,2771,38350,2.851814475436968,3.4000000000000004,34841,36182,12311,7905,3365,35.9,8891.0,12.6,60073.0,90739,0.33912394756474473,0.11130197260042521,0.3661912338256621,0.6338087661743379,0.019050166847359305,0.5399659265308421,9.067485180856906
